Owl_ID,Stations_ID,Owl_Species_ID,Owl_Number,Minute_1,Minute_2,Minute_6-12,Owl_Distance,Owl_Direction,Owl_Comments
967,794,Fulvous,1,FALSE,FALSE,TRUE,15,E,Minute 3 plus. Moved at min. 5 plus to 15 meters W. Min. 7 plus moved to 25 meters NE.Problem w/ recorder & then up to # 283.   (#268-283)
970,795,Fulvous,1,TRUE,TRUE,TRUE,115,E,Minute 6 plus. The 2 birds moved a lot. Min.9 plus moved to 115 meters E.  Min.11 plus moved to 180 meters NE.
971,795,Fulvous,2,TRUE,TRUE,TRUE,150,SE,Minute 5 plus. The 2 birds moved a lot. Min. 9 plus moved to 180 meters SE.  Min. 11 plus moved to 180 meters E.
976,800,Fulvous,1,FALSE,FALSE,TRUE,200,SE,Minute 6-9.
980,802,Whisk,1,TRUE,FALSE,TRUE,300,E,Recorded at point (# 322-360). Recorded vocalization (# 338-340). Owl moved to 500 meters E at minute 5-7.
983,803,Mottd,1,FALSE,FALSE,TRUE,150,N,Minute 6.
984,804,Mottd,1,FALSE,TRUE,TRUE,100,SW,Minute 7 plus. Female cat like call.
985,804,Mottd,2,FALSE,FALSE,TRUE,150,W,Minute 5 plus.
987,808,Mottd,1,FALSE,TRUE,FALSE,50,N,Recorded ( # 360-390).
988,814,Fulvous,1,FALSE,FALSE,TRUE,15,W,Minute 3 plus. Recorded (# 1-59). Moved to 20 meters S at minute 10 plus.
994,815,Fulvous,1,TRUE,TRUE,TRUE,200,N,"Moved at Min. 3 to 250 Meters N, Moved at min.4 to 300 meters N.Moved at min. 10 plus to 400 meters NE. Both in same area now."
997,815,Fulvous,2,FALSE,FALSE,TRUE,400,NE,Minute 10 plus. Both in same area.
999,822,FerPy,1,TRUE,FALSE,TRUE,100,S,Minute 6 plus. Start vocalizing only.
1000,822,FerPy,2,FALSE,FALSE,TRUE,300,S,Minute 6 plus.
1001,822,FerPy,3,FALSE,FALSE,TRUE,150,SE,Minute 7 plus.
1002,828,FerPy,1,FALSE,FALSE,TRUE,400,E,Minute 5-7.
1003,830,Barn,1,FALSE,FALSE,TRUE,50,E,Minute 5. Passed dike.
1004,831,Barn,1,FALSE,FALSE,TRUE,150,E,Minute 4.
1005,836,Specd,1,FALSE,FALSE,TRUE,50,W,Minute 6-7. Tried to record (#141-150).
1006,837,Mottd,1,FALSE,FALSE,TRUE,200,NW,"Minute 5, 6."
1007,842,FerPy,1,FALSE,FALSE,TRUE,200,S,Minute 11.
1008,843,FerPy,1,FALSE,FALSE,TRUE,500,W,Minute 5 plus. Other side of river.
1009,844,FerPy,1,FALSE,FALSE,TRUE,500,W,Minute 5 plus.
1010,845,FerPy,1,FALSE,FALSE,TRUE,200,E,Minute 6 plus.
1011,845,FerPy,2,FALSE,FALSE,TRUE,200,E,Minute 6 plus.
1012,846,FerPy,1,TRUE,TRUE,FALSE,300,SE,
1013,846,FerPy,2,FALSE,FALSE,TRUE,150,E,Minute 5.
1014,846,Mottd,3,FALSE,FALSE,TRUE,500,E,Minute 7.
1015,846,FerPy,4,FALSE,FALSE,TRUE,500,W,Minute 10.
1016,847,FerPy,1,TRUE,TRUE,TRUE,20,S,Minute 5 plus.
